date,time,origin,destination,ridership
2026-01-04,12:00,Woodlands CIQ,JB Sentral,317
2026-01-04,13:00,Woodlands CIQ,JB Sentral,236
2026-01-04,14:00,JB Sentral,Woodlands CIQ,325
2026-01-04,15:00,JB Sentral,Woodlands CIQ,320
2026-01-04,15:00,Woodlands CIQ,JB Sentral,228
2026-01-04,16:00,JB Sentral,Woodlands CIQ,315
2026-01-04,16:00,Woodlands CIQ,JB Sentral,111
2026-01-04,17:00,JB Sentral,Woodlands CIQ,316
2026-01-04,17:00,Woodlands CIQ,JB Sentral,123
2026-01-04,18:00,Woodlands CIQ,JB Sentral,130
2026-01-04,19:00,JB Sentral,Woodlands CIQ,315
2026-01-04,20:00,JB Sentral,Woodlands CIQ,320
2026-01-04,20:00,Woodlands CIQ,JB Sentral,115
2026-01-04,21:00,JB Sentral,Woodlands CIQ,320
2026-01-04,21:00,Woodlands CIQ,JB Sentral,94
2026-01-04,22:00,JB Sentral,Woodlands CIQ,315
2026-01-04,22:00,Woodlands CIQ,JB Sentral,74
2026-01-04,23:00,Woodlands CIQ,JB Sentral,55
2026-01-05,05:00,JB Sentral,Woodlands CIQ,640
2026-01-05,06:00,JB Sentral,Woodlands CIQ,639
2026-01-05,07:00,JB Sentral,Woodlands CIQ,641
2026-01-05,08:00,JB Sentral,Woodlands CIQ,320
2026-01-05,08:00,Woodlands CIQ,JB Sentral,322
2026-01-05,09:00,Woodlands CIQ,JB Sentral,319
2026-01-05,10:00,JB Sentral,Woodlands CIQ,320
2026-01-05,11:00,JB Sentral,Woodlands CIQ,326
2026-01-05,11:00,Woodlands CIQ,JB Sentral,319
2026-01-05,12:00,JB Sentral,Woodlands CIQ,323
2026-01-05,12:00,Woodlands CIQ,JB Sentral,321
2026-01-05,13:00,Woodlands CIQ,JB Sentral,323
2026-01-05,15:00,JB Sentral,Woodlands CIQ,322
2026-01-05,16:00,JB Sentral,Woodlands CIQ,321
2026-01-05,16:00,Woodlands CIQ,JB Sentral,159
2026-01-05,17:00,JB Sentral,Woodlands CIQ,318
2026-01-05,17:00,Woodlands CIQ,JB Sentral,168
2026-01-05,18:00,Woodlands CIQ,JB Sentral,320
2026-01-05,19:00,JB Sentral,Woodlands CIQ,309
2026-01-05,20:00,JB Sentral,Woodlands CIQ,310
2026-01-05,20:00,Woodlands CIQ,JB Sentral,320
2026-01-05,21:00,JB Sentral,Woodlands CIQ,313
2026-01-05,21:00,Woodlands CIQ,JB Sentral,236
2026-01-05,22:00,JB Sentral,Woodlands CIQ,320
2026-01-05,22:00,Woodlands CIQ,JB Sentral,116
2026-01-05,23:00,Woodlands CIQ,JB Sentral,36
2026-01-06,05:00,JB Sentral,Woodlands CIQ,640
2026-01-06,06:00,JB Sentral,Woodlands CIQ,638
2026-01-06,07:00,JB Sentral,Woodlands CIQ,632
